Time_sec	X_C6H6
0	8.89E-09
1	1.23E-10
2	3.74E-06
3	1.22E-07
4	2.78E-06
5	1.49E-06
6	7.39E-10
7	8.79E-13
8	3.23E-10
9	1.58E-07
10	2.67E-06
11	4.42E-20
12	4.34E-20
13	6.45E-11
14	6.89E-09
15	6.60E-14
16	1.89E-08
17	9.37E-11
18	1.74E-08
19	1.96E-12
20	4.82E-09
21	9.84E-13
22	4.42E-20
23	4.34E-20
24	1.02E-06
25	7.95E-06
26	7.19E-06
27	5.89E-09
28	1.11E-13
29	3.86E-09
30	8.61E-15
31	4.18E-20
32	4.34E-20
33	7.49E-07
34	4.58E-06
35	2.22E-20
36	2.22E-20
37	4.36E-20
38	4.44E-20
39	2.22E-20
40	2.22E-20
41	6.55E-11
42	2.42E-15
43	5.27E-07
44	1.09E-13
45	5.83E-06
46	4.07E-11
47	3.31E-08
48	2.68E-14
49	3.40E-11
50	1.78E-06
51	2.29E-06
52	4.44E-20
53	1.37E-09
54	4.42E-20
55	4.50E-15
56	1.33E-12
57	1.29E-06
58	4.43E-20
59	4.36E-20
60	1.09E-06
61	3.20E-09
62	1.37E-15
63	1.25E-11
64	4.62E-09
65	7.10E-07
66	2.90E-06
67	4.43E-20
68	4.39E-20
69	2.79E-09
70	9.43E-13
71	4.36E-20
72	3.44E-06
73	4.40E-11
74	1.00E-05
75	9.40E-17
76	7.47E-06
77	4.35E-20
78	6.77E-12
79	6.18E-12
80	2.61E-10
81	5.80E-06
82	4.44E-20
83	4.44E-20
84	3.91E-20
85	4.43E-20
86	5.29E-15
87	4.39E-20
88	4.42E-20
89	3.96E-12
90	8.77E-13
91	4.43E-20
92	1.29E-05
93	4.98E-09
94	4.43E-20
95	8.73E-09
96	1.46E-06
97	2.22E-20
98	4.44E-20
99	9.85E-06
100	2.23E-20
101	9.22E-06
102	9.82E-06
103	8.02E-06
104	7.23E-06
105	9.75E-06
106	6.06E-06
107	6.13E-06
108	8.79E-06
109	8.87E-06
110	6.72E-06
111	5.42E-06
112	8.46E-06
113	9.50E-06
114	9.26E-06
115	7.56E-06
116	5.13E-06
117	5.97E-06
118	5.32E-06
119	7.07E-06
120	6.84E-06
121	5.46E-06
122	4.76E-06
123	6.23E-06
124	7.32E-06
125	6.98E-06
126	5.69E-06
127	3.79E-06
128	2.93E-06
129	4.59E-06
130	6.61E-06
131	8.31E-06
132	8.41E-06
133	3.90E-06
134	5.42E-06
135	4.80E-06
136	5.69E-06
137	3.85E-06
138	4.02E-06
139	6.06E-06
140	5.34E-06
141	6.51E-06
142	3.91E-06
143	2.36E-06
144	7.81E-06
145	3.45E-06
146	2.95E-06
147	4.52E-06
148	7.36E-06
149	6.51E-06
150	9.36E-06
151	8.15E-06
152	6.55E-06
153	7.72E-06
154	8.43E-06
155	4.41E-06
156	4.10E-06
157	3.30E-06
158	1.16E-06
159	6.58E-12
160	2.23E-20
161	7.21E-13
162	4.40E-18
163	2.18E-18
164	4.38E-20
165	7.36E-13
166	3.06E-20
167	2.60E-19
168	4.15E-16
169	1.22E-13
170	4.55E-15
171	7.27E-20
172	1.89E-12
173	4.42E-20
174	2.26E-20
175	4.42E-20
176	4.43E-20
177	3.58E-07
178	4.23E-20
179	4.43E-20
180	1.25E-12
181	4.43E-20
182	2.05E-14
183	1.25E-18
184	4.41E-20
185	1.42E-10
186	1.15E-09
187	5.55E-09
188	4.53E-12
189	4.91E-18
190	5.88E-14
191	2.27E-09
192	5.60E-06
193	4.66E-19
194	2.26E-17
195	3.67E-18
196	4.89E-10
197	2.50E-06
198	4.84E-09
199	3.73E-15
200	1.70E-08
201	7.64E-09
202	3.19E-10
203	1.42E-13
204	4.44E-20
205	4.44E-20
206	3.09E-07
207	4.81E-06
208	4.15E-06
209	9.18E-06
210	1.05E-05
211	1.24E-05
212	1.09E-05
213	1.15E-05
214	1.27E-05
215	1.48E-05
216	1.29E-05
217	1.27E-05
218	1.32E-05
219	1.26E-05
220	1.34E-05
221	1.36E-05
222	1.18E-05
223	1.39E-05
224	1.19E-05
225	1.47E-05
226	1.10E-05
227	9.63E-06
228	1.47E-05
229	1.10E-05
230	1.06E-05
231	8.04E-06
232	8.17E-06
233	8.25E-06
234	6.15E-06
235	6.31E-06
236	4.56E-06
237	6.73E-07
238	8.85E-07
239	1.01E-06
240	5.98E-07
241	3.54E-07
242	5.41E-07
243	9.30E-09
244	1.21E-10
245	8.08E-08
246	4.44E-20
247	4.43E-20
248	2.24E-09
249	4.62E-09
250	2.94E-10
251	1.44E-15
252	4.43E-20
253	3.20E-08
254	2.22E-20
255	1.01E-13
256	1.37E-10
257	4.42E-20
258	1.21E-09
259	1.60E-11
260	1.21E-16
261	7.06E-12
262	1.81E-07
263	1.75E-15
264	7.90E-12
265	4.43E-20
266	4.60E-12
267	1.96E-10
268	4.41E-20
269	2.22E-20
270	3.59E-09
271	7.80E-10
272	4.43E-20
273	2.63E-13
274	6.61E-11
275	4.36E-20
276	2.02E-06
277	4.41E-20
278	2.09E-08
279	3.66E-08
280	1.49E-14
281	2.79E-12
282	2.23E-08
283	6.04E-11
284	5.22E-13
285	9.32E-10
286	1.52E-18
287	1.91E-12
288	6.49E-16
289	6.14E-07
290	2.22E-20
291	3.39E-11
292	3.47E-20
293	4.43E-20
294	1.45E-07
295	4.39E-20
296	1.57E-07
297	1.20E-06
298	4.44E-20
299	3.37E-06
300	2.80E-20
301	2.65E-13
302	9.51E-13
303	1.50E-14
304	3.32E-09
305	6.87E-08
306	2.57E-08
307	2.21E-07
308	2.83E-06
309	2.41E-06
310	3.64E-07
311	2.50E-06
312	2.80E-05
313	2.84E-05
314	2.67E-05
315	2.56E-05
316	2.40E-05
