Time_sec	X_CO
10.266	0.000122093
50.266	0.000105599
91.266	9.55E-05
131.266	0.000111058
172.266	0.000198368
212.266	0.000186397
253.266	0.000340002
294.266	0.000562607
334.266	0.000729722
374.266	0.000818748
415.266	0.000794278
456.266	0.000793235
497.266	0.000771063
537.266	0.000792212
577.266	0.000806918
618.266	0.000828027
659.266	0.000914475
699.266	0.00097039
739.266	0.001006343
780.266	0.001028521
821.266	0.001044309
862.266	0.000943983
902.266	0.000838238
942.266	0.000753417
983.266	0.000688198
1024.266	0.000634696
1065.266	0.00056278
1105.266	0.000506184
1145.266	0.000471477
1186.266	0.000435805
1227.266	0.000406968
1267.266	0.00038351
1307.266	0.000356796
