Time_sec	X_HCN
0.266	0
2.266	0
4.266	0
6.266	0
10.266	0
12.266	0
14.266	0
16.266	0
18.266	0
20.266	0
22.266	0
24.266	0
26.266	0
30.266	0
32.266	0
34.266	0
36.266	0
38.266	0
40.266	0
42.266	0
44.266	0
46.266	0
50.266	0
52.266	0
54.266	0
56.266	0
58.266	0
60.266	0
62.266	0
64.266	0
68.266	0
70.266	0
72.266	0
74.266	0
76.266	0
78.266	0
80.266	0
82.266	0
86.266	0
88.266	0
90.266	0
92.266	0
94.266	0
96.266	0
98.266	0
100.266	0
104.266	0
106.266	0
108.266	0
110.266	0
112.266	0
114.266	0
118.266	0
120.266	0
122.266	0
124.266	0
126.266	0
128.266	0
132.266	0
134.266	0
136.266	0
138.266	0
140.266	0
142.266	0
144.266	0
146.266	0
150.266	0
152.266	0
154.266	0
156.266	0
158.266	0
160.266	0
164.266	0
166.266	0
168.266	0
170.266	0
172.266	0
174.266	0
178.266	0
180.266	0
182.266	0
184.266	0
186.266	0
188.266	0
192.266	0
194.266	0
196.266	0
198.266	0
200.266	0
202.266	0
204.266	0
208.266	0
210.266	0
212.266	0
214.266	0
216.266	0
218.266	0
222.266	0
224.266	0
226.266	0
228.266	0
230.266	0
234.266	0
236.266	0
238.266	0
240.266	0
242.266	0
246.266	0
248.266	0
250.266	0
252.266	0
254.266	0
258.266	0
260.266	0
262.266	0
264.266	0
266.266	0
268.266	0
272.266	0
274.266	0
276.266	0
278.266	0
280.266	0
284.266	0
286.266	0
288.266	0
290.266	0
294.266	0
296.266	0
298.266	0
300.266	0
302.266	0
306.266	0
308.266	0
310.266	0
312.266	0
316.266	8.32E-06
318.266	7.16E-06
320.266	2.48E-05
322.266	3.10E-05
324.266	3.13E-05
328.266	3.50E-05
330.266	3.69E-05
332.266	3.94E-05
334.266	4.21E-05
338.266	4.02E-05
340.266	4.51E-05
342.266	4.78E-05
344.266	5.83E-05
346.266	6.37E-05
350.266	6.78E-05
352.266	6.76E-05
354.266	7.10E-05
356.266	8.42E-05
360.266	9.05E-05
362.266	9.11E-05
364.266	0.000102501
366.266	0.000107232
370.266	0.0001105
372.266	0.000116477
374.266	0.000128872
376.266	0.000130251
380.266	0.000136647
