Time_sec	X_CH4
0.266	0
2.266	0
4.266	0
6.266	0
10.266	0
12.266	0
14.266	0
16.266	0
18.266	0
20.266	0
22.266	0
24.266	0
26.266	0
30.266	0
32.266	0
34.266	0
36.266	0
38.266	0
40.266	0
42.266	0
44.266	0
46.266	0
50.266	0
52.266	0
54.266	0
56.266	0
58.266	0
60.266	0
62.266	0
64.266	0
68.266	0
70.266	0
72.266	0
74.266	0
76.266	0
78.266	0
80.266	0
82.266	0
86.266	0
88.266	0
90.266	0
92.266	0
94.266	0
96.266	0
98.266	0
100.266	0
104.266	0
106.266	0
108.266	0
110.266	0
112.266	0
114.266	0
118.266	0
120.266	0
122.266	0
124.266	0
126.266	0
128.266	0
132.266	0
134.266	0
136.266	0
138.266	0
140.266	0
142.266	0
144.266	0
146.266	0
150.266	0
152.266	0
154.266	0
156.266	0
158.266	0
160.266	0
164.266	0
166.266	0
168.266	0
170.266	0
172.266	0
174.266	0
178.266	0
180.266	0
182.266	0
184.266	0
186.266	0
188.266	0
192.266	0
194.266	0
196.266	0
198.266	0
200.266	0.000786096
202.266	0.000590746
204.266	0.000541214
208.266	0.000725103
210.266	0.00080791
212.266	0.000725773
214.266	0.000713893
216.266	0.000728984
218.266	0.000775478
222.266	0.000706509
224.266	0.000785807
226.266	0.00093882
228.266	0.000772818
230.266	0.00066338
234.266	0.000765443
236.266	0.00074019
238.266	0.00065843
240.266	0.000585561
242.266	0.000815156
246.266	0.000798054
248.266	0.000605695
250.266	0.000619698
252.266	0.000615889
254.266	0.000891821
258.266	0.000607125
260.266	0.00089333
262.266	0.000848795
264.266	0.000836713
266.266	0.00093251
268.266	0.000696853
272.266	0.001023659
274.266	0.001223456
276.266	0.00131065
278.266	0.001345356
280.266	0.001580861
284.266	0.001650171
286.266	0.001586054
288.266	0.001541348
290.266	0.001475813
294.266	0.00157307
296.266	0.00181103
298.266	0.002052402
300.266	0.001856683
302.266	0.00198045
306.266	0.002012082
308.266	0.002145896
310.266	0.002227241
312.266	0.004474536
316.266	0.004582573
318.266	0.004432745
320.266	0.004539455
322.266	0.004712702
324.266	0.004907751
328.266	0.005039644
330.266	0.005326019
332.266	0.005401992
334.266	0.005541517
338.266	0.005993621
