Time_sec	X_C6H6
1	3.85E-08
2	7.78E-08
3	9.35E-09
4	1.80E-07
5	3.57E-20
6	1.44E-18
7	2.25E-19
8	3.65E-11
9	4.12E-17
10	4.04E-20
11	1.32E-13
12	2.05E-13
13	3.00E-08
14	4.44E-09
15	2.60E-12
16	1.62E-16
17	7.39E-09
18	2.06E-08
19	1.50E-09
20	9.39E-07
21	1.03E-09
22	3.12E-07
23	1.73E-14
24	4.43E-20
25	2.95E-11
26	1.95E-08
27	1.26E-06
28	2.19E-07
29	4.42E-20
30	3.23E-10
31	3.67E-07
32	7.84E-07
33	3.53E-12
34	2.61E-06
35	3.96E-06
36	2.53E-06
37	1.22E-06
38	7.30E-07
39	1.49E-06
40	5.45E-07
41	1.01E-06
42	1.52E-08
43	2.00E-06
44	1.47E-06
45	2.85E-13
46	1.35E-07
47	3.73E-06
48	2.61E-06
49	4.35E-07
50	1.73E-06
51	2.00E-06
52	1.52E-06
53	6.36E-07
54	1.40E-06
55	9.85E-07
56	3.00E-07
57	3.50E-07
58	1.03E-06
59	1.17E-06
60	1.16E-06
61	1.03E-06
62	1.03E-06
63	8.51E-11
64	2.24E-07
65	3.20E-06
66	1.95E-06
67	2.21E-06
68	2.06E-06
69	2.33E-06
70	1.19E-09
71	5.57E-07
72	9.45E-09
73	4.49E-07
74	1.05E-06
75	6.54E-07
76	5.57E-07
77	1.40E-06
78	1.22E-09
79	2.10E-09
80	2.79E-09
81	1.38E-06
82	1.53E-06
83	1.50E-06
84	5.10E-07
85	1.30E-06
86	1.17E-06
87	1.66E-06
88	2.05E-06
89	2.74E-06
90	1.52E-10
91	1.54E-10
92	1.71E-11
93	2.77E-06
94	2.91E-06
95	2.85E-06
96	6.16E-12
97	3.83E-10
98	2.07E-06
99	2.16E-11
100	2.63E-06
101	2.99E-06
102	5.68E-11
103	1.69E-09
104	2.92E-06
105	3.62E-06
106	4.83E-10
107	3.41E-06
108	3.46E-06
109	5.81E-07
110	1.11E-09
111	2.36E-11
112	5.16E-11
113	3.97E-06
114	3.47E-06
115	2.66E-06
116	2.48E-06
117	2.68E-06
118	1.41E-06
119	2.51E-06
120	2.22E-06
121	3.37E-06
122	1.28E-09
123	7.21E-11
124	3.46E-06
125	3.23E-06
126	3.53E-06
127	4.23E-06
128	9.76E-10
129	3.39E-06
130	2.84E-06
131	3.01E-06
132	2.23E-10
133	4.51E-06
134	3.88E-06
135	3.70E-06
136	3.01E-06
137	4.50E-06
138	4.64E-06
139	4.34E-06
140	4.03E-06
141	4.79E-06
142	2.19E-06
143	4.74E-06
144	4.09E-09
145	3.48E-10
146	1.45E-09
147	4.90E-06
148	2.33E-10
149	3.94E-06
150	3.86E-06
151	3.08E-11
152	3.94E-06
153	2.84E-06
