Time_sec	X_C2H2
0.22	0
2.22	0
4.22	0
6.22	0
8.22	0
10.22	0
12.22	0
16.22	0
18.22	0
20.22	0
22.22	0
24.22	0
26.22	0
28.22	0
30.22	0
32.22	0
36.22	0
38.22	0
40.22	3.68E-05
42.22	3.43E-05
44.22	3.72E-05
46.22	3.97E-05
48.22	3.73E-05
52.22	3.43E-05
54.22	3.24E-05
56.22	3.78E-05
58.22	3.40E-05
60.22	3.38E-05
62.22	3.57E-05
64.22	3.05E-05
68.22	2.96E-05
70.22	3.01E-05
72.22	3.24E-05
74.22	4.19E-05
76.22	4.49E-05
78.22	4.61E-05
80.22	4.92E-05
82.22	4.57E-05
86.22	6.50E-05
88.22	7.52E-05
90.22	0.000113653
92.22	0.000158116
94.22	0.000182049
96.22	0.000184963
98.22	0.000206846
102.22	0.000259385
104.22	0.000292062
106.22	0.00031508
108.22	0.000285648
110.22	0.000261314
112.22	0.000236133
116.22	0.00025176
118.22	0.000309503
120.22	0.00030877
122.22	0.000307817
124.22	0.000357733
126.22	0.000390314
130.22	0.000415493
132.22	0.000437676
134.22	0.000456601
136.22	0.000485822
138.22	0.000452726
140.22	0.000426915
144.22	0.000398979
146.22	0.000350458
148.22	0.000294631
150.22	0.000261789
152.22	0.00025691
154.22	0.000289462
156.22	0.000333718
160.22	0.000326059
162.22	0.000313155
164.22	0.000307974
166.22	0.000347985
168.22	0.000381711
172.22	0.000376076
174.22	0.000356591
176.22	0.00032919
178.22	0.000301058
180.22	0.000259465
182.22	0.000245879
186.22	0.000233645
188.22	0.000212127
190.22	0.000198807
192.22	0.000193667
194.22	0.000176969
198.22	0.000161996
200.22	0.000161439
202.22	0.00014602
204.22	0.000126872
206.22	0.000118428
208.22	0.000121526
212.22	0.000124185
214.22	0.000119094
216.22	0.000104519
218.22	0.000101807
220.22	0.000100876
224.22	9.81E-05
226.22	0.000101957
228.22	9.89E-05
230.22	9.71E-05
232.22	0.000104558
236.22	0.000106288
238.22	9.70E-05
240.22	9.77E-05
242.22	8.88E-05
246.22	9.73E-05
248.22	0.000100698
250.22	9.72E-05
252.22	0.000109992
254.22	0.000109336
258.22	0.000108326
260.22	0.000104031
262.22	0.000100647
264.22	9.99E-05
266.22	0.000101896
270.22	9.92E-05
272.22	9.42E-05
274.22	8.38E-05
276.22	8.73E-05
278.22	8.57E-05
282.22	8.59E-05
284.22	8.06E-05
286.22	7.52E-05
288.22	7.06E-05
292.22	7.55E-05
294.22	6.97E-05
296.22	6.97E-05
298.22	6.32E-05
302.22	5.52E-05
304.22	5.59E-05
306.22	3.58E-05
308.22	3.82E-05
312.22	3.48E-05
314.22	3.85E-05
316.22	3.27E-05
318.22	2.93E-05
322.22	3.11E-05
324.22	3.38E-05
326.22	3.20E-05
328.22	3.02E-05
330.22	3.38E-05
334.22	3.38E-05
336.22	3.36E-05
338.22	2.88E-05
340.22	3.16E-05
344.22	2.51E-05
346.22	2.42E-05
348.22	2.01E-05
350.22	1.94E-05
354.22	1.95E-05
356.22	1.76E-05
358.22	1.85E-05
360.22	1.53E-05
364.22	2.12E-05
366.22	1.34E-05
368.22	1.82E-05
370.22	1.44E-05
374.22	1.83E-05
376.22	0
378.22	0
382.22	0
384.22	0
386.22	0
388.22	0
392.22	0
394.22	0
396.22	0
398.22	0
402.22	0
404.22	0
406.22	0
410.22	0
412.22	0
414.22	0
416.22	0
420.22	0
422.22	0
424.22	0
428.22	0
430.22	0
432.22	0
434.22	0
438.22	0
440.22	0
442.22	0
446.22	0
448.22	0
450.22	0
452.22	0
456.22	0
458.22	0
460.22	0
464.22	0
466.22	0
468.22	0
472.22	0
