Time_sec	X_CO
25.162	1.46E-05
66.162	4.59E-05
106.162	7.49E-05
147.162	7.52E-05
187.162	0.00022114
228.162	0.00029847
268.162	0.000476017
309.162	0.000790696
350.162	0.00066252
390.162	0.000139238
431.162	0.000219777
471.162	0.00023332
512.162	0.000196379
552.162	0.000175279
593.162	0.000158123
634.162	0.00015246
