Time_sec	X_CO
11.94	6.54E-05
52.94	4.76E-05
92.94	3.55E-05
133.94	2.92E-05
174.94	2.98E-05
214.94	3.65E-05
254.94	4.22E-05
295.94	4.84E-05
336.94	5.30E-05
377.94	6.37E-05
417.94	0.000108941
457.94	0.000186346
498.94	0.000263012
539.94	0.000329039
579.94	0.00037657
620.94	0.000410057
660.94	0.000433908
701.94	0.000442187
742.94	0.000420302
782.94	0.000372734
822.94	0.000321633
863.94	0.000275457
904.94	0.000234325
