Time_sec	X_CH4
0.053	0
2.053	0
4.053	0
6.053	0
8.053	0
10.053	0
14.053	0
16.053	0
18.053	0
20.053	0
22.053	0
24.053	0
28.053	0
30.053	0
32.053	0
34.053	0
36.053	0
38.053	0
40.053	0
42.053	0
46.053	0
48.053	0
50.053	0
52.053	0
54.053	0
56.053	0
60.053	0
62.053	0
64.053	0
66.053	0
68.053	0
70.053	0
74.053	0
76.053	0
78.053	0
80.053	0
82.053	0
84.053	0
88.053	0
90.053	0
92.053	0
94.053	0
96.053	0
100.053	0
102.053	0
104.053	0
106.053	0
108.053	0
110.053	0
114.053	0
116.053	0
118.053	0
120.053	0
122.053	0
126.053	0
128.053	0
130.053	0
132.053	0
134.053	0
136.053	0
140.053	0
142.053	0
144.053	0
146.053	0
148.053	0
152.053	0
154.053	0
156.053	0
158.053	0
160.053	0
164.053	0
166.053	0.002273475
168.053	0.002529251
170.053	0.002646284
172.053	0.002949069
176.053	0.003410113
178.053	0.004366608
180.053	0.004682549
182.053	0.005320217
184.053	0.004822727
188.053	0.005260555
190.053	0.005025065
192.053	0.004867803
194.053	0.005217401
196.053	0.004555378
200.053	0.004398942
202.053	0.004429528
204.053	0.004058943
206.053	0.003876284
208.053	0.003306122
212.053	0.003461273
214.053	0.003165025
216.053	0.00256968
218.053	0.002788642
220.053	0.002850743
224.053	0.002773765
226.053	0.002345877
228.053	0.002073185
230.053	0.00193178
234.053	0.001341734
236.053	0.001490055
238.053	0.001651744
240.053	0.001582449
242.053	0.001467267
246.053	0.001306886
248.053	0.001132436
250.053	0.001310169
252.053	0.00111677
256.053	0.001084333
258.053	0.001193309
260.053	0.000907772
262.053	0.000675647
264.053	0.0010129
268.053	0.000868408
270.053	0.001205863
272.053	0
274.053	0
278.053	0
280.053	0
282.053	0
284.053	0
288.053	0
290.053	0
292.053	0
294.053	0
296.053	0
300.053	0
302.053	0
304.053	0
306.053	0
310.053	0
312.053	0
314.053	0
316.053	0
320.053	0
322.053	0
324.053	0
326.053	0
330.053	0
332.053	0
334.053	0
338.053	0
340.053	0
342.053	0
344.053	0
348.053	0
350.053	0
352.053	0
354.053	0
358.053	0
360.053	0
362.053	0
364.053	0
368.053	0
370.053	0
372.053	0
374.053	0
378.053	0
380.053	0
382.053	0
386.053	0
388.053	0
390.053	0
392.053	0
396.053	0
398.053	0
400.053	0
404.053	0
406.053	0
408.053	0
410.053	0
414.053	0
416.053	0
418.053	0
420.053	0
424.053	0
426.053	0
428.053	0
432.053	0
434.053	0
436.053	0
440.053	0
442.053	0
444.053	0
448.053	0
450.053	0
452.053	0
454.053	0
458.053	0
460.053	0
462.053	0
466.053	0
468.053	0
470.053	0
474.053	0
476.053	0
478.053	0
482.053	0
484.053	0
486.053	0
490.053	0
492.053	0
494.053	0
498.053	0
500.053	0
