Time_sec	X_CO2
31.684	0.001470207
71.684	0.018364508
112.684	0.022118109
152.684	0.020268656
193.684	0.022265933
234.684	0.033487021
274.684	0.049652381
315.684	0.055120726
355.684	0.053270065
396.684	0.059317664
436.684	0.07034603
477.684	0.067234256
517.684	0.057243743
558.684	0.053608315
599.684	0.050301136
639.684	0.032836056
680.684	0.01936006
720.684	0.015020407
761.684	0.011327873
802.684	0.010886457
842.684	0.00979994
883.684	0.009636502
923.684	0.008625365
964.684	0.006564494
1004.684	0.006452315
1045.684	0.006293831
1085.684	0.006165794
