Time_sec	X_CO
31.684	2.22E-05
71.684	5.90E-05
112.684	7.79E-05
152.684	0.00010299
193.684	0.000112372
234.684	0.000129919
274.684	0.0003293
315.684	0.00046992
355.684	0.000456227
396.684	0.000812355
436.684	0.001077641
477.684	0.00110626
517.684	0.001045952
558.684	0.001032578
599.684	0.000914528
639.684	0.000504364
680.684	0.000323203
720.684	0.000256292
761.684	0.000217609
802.684	0.000195738
842.684	0.000182825
883.684	0.000168697
923.684	0.000156902
964.684	0.000147331
1004.684	0.000164577
1045.684	0.000133301
1085.684	0.000123192
