Time_sec	X_C2H2
1.684	0
3.684	0
5.684	0
7.684	0
11.684	0
13.684	0
15.684	0
17.684	0
19.684	0
21.684	0
23.684	0
27.684	0
29.684	0
31.684	0
33.684	0
35.684	0
37.684	0
39.684	0
41.684	0
43.684	0
47.684	0
49.684	0
51.684	0
53.684	0
55.684	0
57.684	0
59.684	0
63.684	0
65.684	0
67.684	0
69.684	0
71.684	0
73.684	0
75.684	0
79.684	0
81.684	0
83.684	0
85.684	0
87.684	0
89.684	0
91.684	0
95.684	0
97.684	0
99.684	0
101.684	0
103.684	0
105.684	0
109.684	0
111.684	0
113.684	0
115.684	0
117.684	0
119.684	0
121.684	0
125.684	0
127.684	0
129.684	0
131.684	0
133.684	0
135.684	0
139.684	0
141.684	0
143.684	0
145.684	0
147.684	0
149.684	0
151.684	0
155.684	0
157.684	0
159.684	0
161.684	0
163.684	0
165.684	0
169.684	0
171.684	0
173.684	0
175.684	0
177.684	0
179.684	0
183.684	0
185.684	0
187.684	0
189.684	0
191.684	0
193.684	0
197.684	0
199.684	0
201.684	0
203.684	0
205.684	0
209.684	0
211.684	0
213.684	0
215.684	0
217.684	0
219.684	0
223.684	1.91E-05
225.684	1.05E-05
227.684	1.35E-05
229.684	2.57E-05
231.684	3.46E-05
235.684	6.67E-05
237.684	9.81E-05
239.684	0.000116304
241.684	0.000159609
243.684	0.000238851
247.684	0.000294724
249.684	0.000370481
251.684	0.00045422
253.684	0.000548296
257.684	0.000664015
259.684	0.000713488
261.684	0.000723174
263.684	0.00078483
265.684	0.000929893
269.684	0.00109808
271.684	0.001282559
273.684	0.001494794
275.684	0.001647637
277.684	0.001774847
281.684	0.001873867
283.684	0.001840718
285.684	0.001853349
287.684	0.001695539
289.684	0.001515463
293.684	0.001310391
295.684	0.001182388
297.684	0.001107901
299.684	0.001000103
301.684	0.000910675
305.684	0.000810195
307.684	0.000700692
309.684	0.000553519
311.684	0.000439937
313.684	0.000340543
317.684	0.000269588
319.684	0.000213319
321.684	0.000199461
323.684	0.000182663
327.684	0.00017568
329.684	0.000157283
331.684	0.000147169
333.684	0.000124884
335.684	0.000112382
339.684	9.59E-05
341.684	0.000101245
343.684	0.000112879
345.684	0.00012237
347.684	0.000126437
351.684	0.000137943
353.684	0.000197235
355.684	0.000370397
357.684	0.000557621
361.684	0.000754664
363.684	0.000953579
365.684	0.001036597
367.684	0.001055219
371.684	0.001213528
373.684	0.001420084
375.684	0.001645191
377.684	0.001830028
381.684	0.002069848
383.684	0.002254632
385.684	0.002413133
387.684	0.002538745
389.684	0.002633903
393.684	0.00275909
395.684	0.002812121
397.684	0.0028458
399.684	0.00284045
403.684	0.002719846
405.684	0.002650058
407.684	0.00263583
409.684	0.002647581
411.684	0.002715116
415.684	0.002675918
417.684	0.002609199
419.684	0.002616887
421.684	0.00265179
425.684	0.002715042
427.684	0.002791877
429.684	0.002869596
431.684	0.003068419
435.684	0.003047124
437.684	0.003100082
439.684	0.003115627
441.684	0.003086269
445.684	0.003154704
447.684	0.003049982
449.684	0.003033929
451.684	0.002893323
453.684	0.002978991
457.684	0.002855233
