Time_sec	X_HCN
1.684	0
3.684	0
5.684	0
7.684	0
11.684	0
13.684	0
15.684	0
17.684	0
19.684	0
21.684	0
23.684	0
27.684	0
29.684	0
31.684	0
33.684	0
35.684	0
37.684	0
39.684	0
41.684	0
43.684	0
47.684	0
49.684	0
51.684	0
53.684	0
55.684	0
57.684	0
59.684	0
63.684	0
65.684	0
67.684	0
69.684	0
71.684	0
73.684	0
75.684	0
79.684	0
81.684	0
83.684	0
85.684	0
87.684	0
89.684	0
91.684	0
95.684	0
97.684	0
99.684	0
101.684	0
103.684	0
105.684	0
109.684	0
111.684	0
113.684	0
115.684	0
117.684	0
119.684	0
121.684	0
125.684	0
127.684	0
129.684	0
131.684	0
133.684	0
135.684	0
139.684	0
141.684	0
143.684	0
145.684	0
147.684	0
149.684	0
151.684	0
155.684	0
157.684	0
159.684	0
161.684	0
163.684	0
165.684	0
169.684	0
171.684	0
173.684	0
175.684	0
177.684	0
179.684	0
183.684	0
185.684	0
187.684	0
189.684	0
191.684	0
193.684	0
197.684	0
199.684	0
201.684	0
203.684	0
205.684	0
209.684	0
211.684	0
213.684	0
215.684	0
217.684	0
219.684	0
223.684	2.61E-06
225.684	2.99E-06
227.684	2.11E-06
229.684	3.46E-06
231.684	2.57E-06
235.684	2.85E-06
237.684	3.28E-06
239.684	2.71E-06
241.684	3.49E-06
243.684	3.34E-06
247.684	3.14E-06
249.684	3.07E-06
251.684	3.49E-06
253.684	4.17E-06
257.684	4.40E-06
259.684	4.06E-06
261.684	5.54E-06
263.684	5.08E-06
265.684	6.19E-06
269.684	5.68E-06
271.684	9.36E-06
273.684	9.53E-06
275.684	1.04E-05
277.684	1.13E-05
281.684	1.21E-05
283.684	1.15E-05
285.684	1.15E-05
287.684	1.39E-05
289.684	1.10E-05
293.684	9.51E-06
295.684	8.26E-06
297.684	8.76E-06
299.684	6.55E-06
301.684	6.27E-06
305.684	5.05E-06
307.684	5.42E-06
309.684	4.77E-06
311.684	4.42E-06
313.684	5.31E-06
317.684	5.08E-06
319.684	7.27E-06
321.684	7.57E-06
323.684	8.60E-06
327.684	7.75E-06
329.684	9.26E-06
331.684	1.20E-05
333.684	1.15E-05
335.684	1.12E-05
339.684	1.26E-05
341.684	1.24E-05
343.684	1.30E-05
345.684	1.46E-05
347.684	1.42E-05
351.684	1.53E-05
353.684	1.54E-05
355.684	1.62E-05
357.684	1.61E-05
361.684	1.48E-05
363.684	1.57E-05
365.684	1.64E-05
367.684	1.66E-05
371.684	1.80E-05
373.684	1.81E-05
375.684	1.81E-05
377.684	2.10E-05
381.684	2.33E-05
383.684	2.40E-05
385.684	2.80E-05
387.684	3.02E-05
389.684	3.63E-05
393.684	4.60E-05
395.684	6.05E-05
397.684	7.62E-05
399.684	9.68E-05
403.684	0.000118124
405.684	0.000139915
407.684	0.000163262
409.684	0.000186513
411.684	0.000214694
415.684	0.000245109
417.684	0.000282363
419.684	0.000317817
421.684	0.000353684
425.684	0.000390283
427.684	0.000428702
429.684	0.000471129
431.684	0.000520641
435.684	0.000565408
437.684	0.000614724
439.684	0.000661917
