Time_sec	X_C6H6
0	2.77E-07
1	6.48E-08
2	8.53E-06
3	2.46E-05
4	2.66E-05
5	1.62E-05
6	1.07E-05
7	9.48E-06
8	2.55E-06
9	1.00E-05
10	2.19E-06
11	1.38E-05
12	2.32E-06
13	1.04E-05
14	7.73E-06
15	9.80E-06
16	1.24E-05
17	1.40E-05
18	1.15E-05
19	9.35E-06
20	9.18E-06
21	1.06E-05
22	1.26E-05
23	1.40E-05
24	1.32E-05
25	9.26E-06
26	7.47E-06
27	6.34E-06
28	8.88E-06
29	1.08E-05
30	1.32E-05
31	1.29E-05
32	1.23E-05
33	8.14E-06
34	8.06E-06
35	8.37E-06
36	1.01E-05
37	1.13E-05
38	1.21E-05
39	1.49E-05
40	1.14E-05
41	1.15E-05
42	7.17E-06
43	1.16E-05
44	1.03E-05
45	9.96E-06
46	1.33E-05
47	1.20E-05
48	7.86E-06
49	1.03E-05
50	1.25E-05
51	1.44E-05
52	1.05E-05
53	8.20E-06
54	9.63E-06
55	1.15E-05
56	8.74E-06
57	6.35E-06
58	9.09E-06
59	9.81E-06
60	1.11E-05
61	1.28E-05
62	1.19E-05
63	1.33E-05
64	1.69E-05
65	1.38E-05
66	1.45E-05
67	1.17E-05
68	1.27E-05
69	2.93E-06
70	1.38E-05
71	5.95E-06
72	1.47E-05
73	1.08E-05
74	1.10E-05
75	8.57E-06
76	1.08E-05
77	9.86E-06
78	1.41E-05
79	1.14E-05
80	1.08E-05
81	7.81E-06
82	1.07E-05
83	2.18E-06
84	1.98E-05
85	9.13E-06
86	1.27E-05
87	1.37E-05
88	1.36E-05
89	1.70E-05
90	1.36E-05
91	1.26E-05
92	7.77E-06
93	7.78E-06
94	9.46E-06
95	1.08E-05
96	1.23E-05
97	7.58E-06
98	8.37E-06
99	1.65E-05
100	1.33E-05
101	1.87E-05
102	2.13E-05
103	2.95E-05
104	1.30E-05
105	1.48E-05
106	1.97E-05
107	4.03E-05
108	4.37E-05
109	3.93E-05
110	4.38E-05
111	5.09E-05
112	4.67E-05
113	5.02E-05
114	5.07E-05
115	6.11E-05
116	6.26E-05
117	6.81E-05
118	7.17E-05
119	8.23E-05
120	9.89E-05
121	0.000111958
122	0.00011182
123	0.000122688
124	0.000121738
125	0.000122002
126	0.000139237
127	0.000120554
128	9.75E-05
129	7.44E-05
130	8.16E-05
131	0.000118991
132	0.000149335
133	0.000211311
134	0.000262469
135	0.000265822
136	0.000306836
137	0.000364223
138	0.000436466
139	0.000490129
140	0.000520531
141	0.000546289
142	0.000531929
143	0.000536407
144	0.000518168
145	0.000478136
146	0.000444685
147	0.000429987
148	0.000417877
149	0.000381947
150	0.00034094
151	0.000303174
152	0.00030496
153	0.000315676
154	0.000331808
155	0.000336675
156	0.000333332
157	0.000350062
158	0.000353058
159	0.000377062
160	0.00040023
161	0.000435519
162	0.000464627
163	0.000453585
164	0.000454579
165	0.000465684
166	0.000457449
167	0.000425183
168	0.00038684
169	0.000356849
170	0.00033408
171	0.000344931
172	0.000336499
173	0.000318296
174	0.000308742
175	0.000332584
176	0.000350922
177	0.000341965
178	0.000323214
179	0.000309871
180	0.000329299
