Time_sec	X_CO
15.445	3.12E-06
56.445	9.17E-06
96.445	4.31E-05
137.445	6.50E-05
178.445	7.69E-05
218.445	7.22E-05
259.445	7.38E-05
299.445	9.10E-05
340.445	0.000125662
381.445	0.000225841
421.445	0.000303925
461.445	0.000390786
502.445	0.000458259
543.445	0.000495261
583.445	0.000505865
624.445	0.000481013
664.445	0.000404849
705.445	0.000329487
745.445	0.000264416
786.445	0.000158956
827.445	0.000165806
867.445	0.000134266
