Time_sec	X_CO
37.344	3.08E-05
78.344	2.66E-05
118.344	4.22E-05
159.344	5.92E-05
199.344	7.08E-05
240.344	7.63E-05
281.344	7.51E-05
321.344	7.73E-05
361.344	7.93E-05
402.344	8.64E-05
443.344	0.000199884
483.344	0.000425419
524.344	0.000607695
564.344	0.000671705
605.344	0.000698882
645.344	0.000634274
686.344	0.000526394
727.344	0.000399734
767.344	0.000342135
808.344	0.000323053
848.344	0.000325312
889.344	0.00032453
929.344	0.000327206
