Time_sec	X_CO2
36.326	3.70E-05
77.326	0.000863449
117.326	0.004664069
158.326	0.008510902
199.326	0.00634806
239.326	0.00621295
279.326	0.00663597
320.326	0.012863185
360.326	0.013319365
401.326	0.015213834
442.326	0.014148196
482.326	0.015166883
523.326	0.015176314
563.326	0.013689782
604.326	0.013358939
645.326	0.013345232
685.326	0.013483135
725.326	0.014978995
766.326	0.013972201
806.326	0.013295462
847.326	0.009438307
888.326	0.003109056
929.326	0.001308355
969.326	0.002701729
1009.326	0.006343036
1050.326	0.011299426
1091.326	0.006790213
1131.326	0.002672081
1172.326	0.001889171
1212.326	0.001506239
